observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
326562300,Yes,326562330,Yes,Yes,,326562300_326562330,326562330_326562300
326562330,Yes,326562300,Yes,Yes,,326562330_326562300,326562300_326562330
326810304,Yes,326810698,Yes,Yes,,326810304_326810698,326810698_326810304
326810698,Yes,326810304,Yes,Yes,,326810698_326810304,326810304_326810698
326876805,Yes,338027232,Yes,Yes,,326876805_338027232,338027232_326876805
327005470,Yes,327026666,No,Yes,,327005470_327026666,327026666_327005470
327007192,Yes,328098467,No,Yes,,327007192_328098467,328098467_327007192
327030861,Yes,327030905,No,Yes,,327030861_327030905,327030905_327030861
327030905,No,327030861,Yes,Yes,,327030905_327030861,327030861_327030905
327030923,Yes,327030995,No,Yes,,327030923_327030995,327030995_327030923
327040961,No,327040989,Yes,Yes,,327040961_327040989,327040989_327040961
327040989,Yes,327040961,No,Yes,,327040989_327040961,327040961_327040989
327076111,Yes,327076113,Yes,Yes,,327076111_327076113,327076113_327076111
327076113,Yes,327076111,Yes,Yes,,327076113_327076111,327076111_327076113
327099957,No,327215650,Yes,Yes,,327099957_327215650,327215650_327099957
327159183,Yes,327159179,No,Yes,,327159183_327159179,327159179_327159183
327160651,Yes,327160742,No,Yes,,327160651_327160742,327160742_327160651
327160742,No,327160651,Yes,Yes,,327160742_327160651,327160651_327160742
327205203,Yes,327205209,No,Yes,,327205203_327205209,327205209_327205203
327215650,Yes,327099957,No,Yes,,327215650_327099957,327099957_327215650
327445158,Yes,70704696,Yes,Yes,,327445158_70704696,70704696_327445158
327879788,Yes,327882839,No,Yes,,327879788_327882839,327882839_327879788
327970766,Yes,327970878,No,Yes,,327970766_327970878,327970878_327970766
327970878,No,327970766,Yes,Yes,,327970878_327970766,327970766_327970878
328005062,Yes,328005121,No,Yes,,328005062_328005121,328005121_328005062
328005121,No,328005062,Yes,Yes,,328005121_328005062,328005062_328005121
328091438,Yes,328091559,No,Yes,,328091438_328091559,328091559_328091438
328091559,No,328091438,Yes,Yes,,328091559_328091438,328091438_328091559
328098467,No,327007192,Yes,Yes,,328098467_327007192,327007192_328098467
328106011,Yes,328107305,No,Yes,,328106011_328107305,328107305_328106011
328106021,Yes,328107471,No,Yes,,328106021_328107471,328107471_328106021
328111594,Yes,328111658,No,Yes,,328111594_328111658,328111658_328111594
328111658,No,328111594,Yes,Yes,,328111658_328111594,328111594_328111658
328125677,Yes,328236427,No,Yes,,328125677_328236427,328236427_328125677
328131605,No,328131932,Yes,Yes,,328131605_328131932,328131932_328131605
328131932,Yes,328131605,No,Yes,,328131932_328131605,328131605_328131932
328136527,Yes,328136529,Yes,Yes,,328136527_328136529,328136529_328136527
328136529,Yes,328136527,Yes,Yes,,328136529_328136527,328136527_328136529
328136547,Yes,328137398,No,Yes,,328136547_328137398,328137398_328136547
328142885,No,309145894,No,Yes,,328142885_309145894,309145894_328142885
328196149,Yes,328196150,No,Yes,,328196149_328196150,328196150_328196149
328205563,Yes,328205715,No,Yes,,328205563_328205715,328205715_328205563
328205715,No,328205563,Yes,Yes,,328205715_328205563,328205563_328205715
